datetime,open,high,low,close,volume
2017-09-08 03:00:00,674.96,677.89,672.2,674.99,255.23035521
2017-09-08 03:30:00,673.56,685.0,672.39,685.0,506.38391338
2017-09-08 04:00:00,685.0,691.9,683.33,691.75,1089.19005279
2017-09-08 04:30:00,691.96,698.0,679.0,680.07,1012.09121297
2017-09-08 05:00:00,680.98,684.99,675.92,678.99,386.22542333
2017-09-08 05:30:00,679.0,685.45,678.11,683.94,267.52303967
2017-09-08 06:00:00,683.25,696.99,683.25,692.5,941.42170742
2017-09-08 06:30:00,694.0,698.25,687.1,697.0,810.63542891
2017-09-08 07:00:00,697.0,697.0,687.32,689.83,436.5502665
2017-09-08 07:30:00,689.74,696.97,689.21,690.6,617.31746162
2017-09-08 08:00:00,690.52,694.77,688.64,689.83,539.61976997
2017-09-08 08:30:00,690.21,692.0,683.69,688.17,319.4557753
2017-09-08 09:00:00,687.65,687.8,677.5,681.7,1551.683129
2017-09-08 09:30:00,681.7,684.08,677.29,680.7,343.60755684
2017-09-08 10:00:00,681.67,681.67,677.2,677.3,297.21236535
2017-09-08 10:30:00,677.43,681.44,673.01,673.3,849.91915959
2017-09-08 11:00:00,673.72,676.0,667.74,669.1,1223.0427103
2017-09-08 11:30:00,670.0,672.26,668.35,670.0,1005.62996926
2017-09-08 12:00:00,668.84,675.68,668.01,672.02,540.49319536
2017-09-08 12:30:00,672.81,677.85,668.7,668.8,298.85984395
2017-09-08 13:00:00,668.8,672.2,645.02,650.5,1191.00187213
2017-09-08 13:30:00,650.5,650.5,612.01,617.0,6023.53597376
2017-09-08 14:00:00,617.0,625.35,577.0,590.0,6986.58747286
2017-09-08 14:30:00,590.0,614.7,590.0,607.13,2557.58607449
2017-09-08 15:00:00,607.48,611.24,587.0,596.0,1936.89889639
2017-09-08 15:30:00,596.0,620.0,585.0,613.7,2725.90215406
2017-09-08 16:00:00,614.3,634.5,609.24,627.8,3513.94786344
2017-09-08 16:30:00,627.71,631.99,606.05,606.7,1434.0145578
2017-09-08 17:00:00,606.82,618.0,603.21,611.01,878.6525716
2017-09-08 17:30:00,612.39,612.39,597.01,602.21,1367.49905014
2017-09-08 18:00:00,600.8,612.0,598.1,606.32,904.30493361
2017-09-08 18:30:00,608.1,608.68,594.3,597.95,487.98871225
2017-09-08 19:00:00,597.3,597.3,588.01,596.35,1145.38299334
2017-09-08 19:30:00,596.94,599.04,580.08,580.41,883.40762198
2017-09-08 20:00:00,580.08,592.19,576.1,583.81,984.68938818
2017-09-08 20:30:00,585.46,592.49,575.11,583.67,904.5642002999997
2017-09-08 21:00:00,585.03,587.81,571.31,571.99,1353.5443638
2017-09-08 21:30:00,571.65,584.69,571.65,579.6,874.39405647
2017-09-08 22:00:00,582.87,597.76,581.3,591.47,1231.42227653
2017-09-08 22:30:00,591.49,607.49,588.27,606.8,890.37888285
2017-09-08 23:00:00,607.5,614.23,602.6,611.81,559.72640078
2017-09-08 23:30:00,612.34,614.12,600.61,604.5,354.18072833
2017-09-09 00:00:00,602.77,607.14,590.84,603.32,604.22140039
2017-09-09 00:30:00,602.01,608.38,599.0,599.0,350.28488106
2017-09-09 01:00:00,597.32,597.32,586.0,589.9,481.61174545
2017-09-09 01:30:00,589.7,591.0,585.05,585.35,235.99667531
2017-09-09 02:00:00,586.89,588.47,579.0,581.62,249.57708341
2017-09-09 02:30:00,581.54,592.47,576.31,591.5,532.9103427
2017-09-09 03:00:00,590.56,596.35,587.82,591.21,613.1394888
